index	datasetID	title	minTime	maxTime	Lat	Lon	tabfile
29	pmel_co2_moorings_7c7e_d9cd_9495	CRIMP2 NOAA Surface Ocean CO2 and Ocean Acidif...	2008-06-11T00:16:00Z	2019-02-23T18:17:00Z	21.458	-157.7980	CRIMP2.txt
30	pmel_co2_moorings_0088_00e7_268c	CRIMP1 NOAA Surface Ocean CO2 and Ocean Acidif...	2005-12-01T00:16:00Z	2008-05-30T21:16:00Z	21.428	-157.7880	CRIMP1.txt
31	pmel_co2_moorings_991f_8201_6974	Kilo Nalu NOAA Surface Ocean CO2 and Ocean Aci...	2008-06-07T18:17:00Z	2019-05-16T18:17:00Z	21.288	-157.8650	KILONALU.txt
32	pmel_co2_moorings_e8f3_34cc_72d0	Ala Wai NOAA Surface Ocean CO2 and Ocean Acidi...	2008-06-06T05:58:00Z	2021-02-18T12:17:00Z	21.280	-157.8500	ALAWAI.txt
33	pmel_co2_moorings_b1d3_602a_9da4	TAO170W NOAA Surface Ocean CO2 and Ocean Acidi...	2005-07-04T00:50:00Z	2018-02-17T18:17:00Z	0.000	-170.0000	TAO170W.txt
34	pmel_co2_moorings_c993_7f05_7d40	TAO165E NOAA Surface Ocean CO2 and Ocean Acidi...	2010-02-23T07:58:00Z	2020-08-07T21:17:00Z	0.000	165.0000	TAO165E.txt
35	pmel_co2_moorings_8a73_1677_822e	TAO8S165E NOAA Surface Ocean CO2 and Ocean Aci...	2009-06-22T06:41:00Z	2013-11-27T09:17:00Z	-8.000	165.0000	TAO8S165E.txt
36	pmel_co2_moorings_bf98_0a93_1a18	TAO155W NOAA Surface Ocean CO2 and Ocean Acidi...	2010-01-13T22:58:00Z	2021-09-25T06:17:00Z	0.000	-155.0000	TAO155W.txt
37	pmel_co2_moorings_3e17_4ac9_c1f7	Chuuk NOAA Surface Ocean CO2 and Ocean Acidifi...	2011-11-18T12:17:00Z	2018-10-16T12:17:00Z	7.460	151.9000	CHUUK.txt
38	pmel_co2_moorings_509b_0e87_dbc3	TAO140W NOAA Surface Ocean CO2 and Ocean Acidi...	2004-05-23T06:19:00Z	2020-03-20T15:17:00Z	0.000	-140.0000	TAO140W.txt
39	pmel_co2_moorings_af32_4443_213a	TAO125W NOAA Surface Ocean CO2 and Ocean Acidi...	2004-05-08T00:19:00Z	2021-03-21T21:17:00Z	0.000	-125.0000	TAO125W.txt
40	pmel_co2_moorings_ca69_976d_4677	TAO110W NOAA Surface Ocean CO2 and Ocean Acidi...	2009-09-19T04:28:00Z	2019-07-02T15:17:00Z	0.000	-110.0000	TAO110W.txt
