index,datasetID,title,minTime,maxTime,Lat,Lon,tabfile
0,pmel_co2_moorings_ba50_a09b_5565,Iceland  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2013-08-16T10:47:00Z,2017-06-28T18:17:00Z,68.0,-12.67,ICELAND.txt
1,pmel_co2_moorings_c2e7_ecb9_4565,Gulf of Maine  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2006-07-13T02:16:00Z,2021-06-02T09:17:00Z,43.023,-70.542,GULFOFMAINE.txt
2,pmel_co2_moorings_c64b_e2bb_dc32,First Landing  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2018-04-05T21:17:00Z,2020-09-26T15:17:00Z,36.998,-76.088,FIRSTLANDING.txt
3,pmel_co2_moorings_4e4c_1834_1204,Hog Reef  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2010-12-05T03:17:00Z,2018-07-31T12:16:00Z,32.46,-64.83,HOGREEF.txt
4,pmel_co2_moorings_e1ef_470f_1fee,Crescent Reef  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2010-11-27T03:17:00Z,2015-07-07T15:17:00Z,32.4,-64.79,CRESCENTREEF.txt
5,pmel_co2_moorings_939b_fc25_57be,BTM  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2005-10-22T00:16:00Z,2007-10-01T12:16:00Z,31.5,-64.2,BTM.txt
6,pmel_co2_moorings_ab27_2faf_3aa1,Gray's Reef  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2006-07-18T00:45:00Z,2018-08-27T12:17:00Z,31.4,-80.87,GRAYSREEF.txt
7,pmel_co2_moorings_cf08_f32f_712a,Coastal MS  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2009-05-12T18:17:00Z,2017-05-29T21:17:00Z,30.0,-88.6,COASTALMS.txt
8,pmel_co2_moorings_0af7_8b89_77bd,Coastal LA  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2017-07-14T18:46:00Z,2020-08-12T21:17:00Z,28.52,-90.2878,COASTALLA.txt
9,pmel_co2_moorings_045c_c8bc_b1c6,Cheeca Rocks  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2011-12-08T21:17:00Z,2017-09-09T09:17:00Z,24.91,-80.624,CHEECAROCKS.txt
10,pmel_co2_moorings_3b97_8e9a_3b51,Stratus  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2006-10-16T21:00:00Z,2018-08-17T21:17:00Z,-19.7,-85.6,STRATUS.txt
11,pmel_co2_moorings_ab03_dbac_935b,La Parguera  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2009-01-16T21:17:00Z,2019-09-06T09:17:00Z,17.954,-67.051,LAPARGUERA.txt
12,pmel_co2_moorings_ee12_e5fb_4537,BOBOA  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2013-11-24T08:17:00Z,2017-01-09T03:17:00Z,15.0,90.0,BOBOA.txt
13,pmel_co2_moorings_cb2d_135a_c444,CCE1  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2008-11-11T01:29:00Z,2020-06-11T09:16:00Z,33.48,-122.51,CCE1.txt
14,pmel_co2_moorings_9675_b3d3_c1c1,CCE2  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2010-01-17T00:28:00Z,2021-06-16T21:17:00Z,34.324,-120.814,CCE2.txt
15,pmel_co2_moorings_e27b_9478_5078,Cape Arago  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2017-06-10T05:17:00Z,2020-03-04T21:17:00Z,43.32,-124.5,CAPEARAGO.txt
16,pmel_co2_moorings_47ca_cd17_f8f9,NH-10  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2014-04-03T09:17:00Z,2017-04-22T21:17:00Z,44.904,-124.778,NH10.txt
17,pmel_co2_moorings_299e_e649_3487,Cape Elizabeth  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2006-06-23T06:16:00Z,2020-05-22T03:17:00Z,47.353,-124.731,CAPEELIZABETH.txt
18,pmel_co2_moorings_fad6_8193_8d89,Cha ba  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2010-07-16T20:17:00Z,2017-10-16T15:17:00Z,47.936,-125.958,CHABA.txt
19,pmel_co2_moorings_fa67_c709_71e7,SEAK  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2013-03-29T03:18:00Z,2016-02-03T18:17:00Z,56.26,-134.67,SEAK.txt
20,pmel_co2_moorings_d18e_ee9f_4615,GAKOA  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2011-05-19T21:17:00Z,2018-12-12T12:17:00Z,59.91,-149.35,GAKOA.txt
21,pmel_co2_moorings_c53b_4693_578a,Kodiak  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2013-03-30T00:17:00Z,2016-04-18T18:17:00Z,57.7,-152.31,KODIAK.txt
22,pmel_co2_moorings_87d0_7c04_27e0,M2  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2013-05-06T06:17:00Z,2018-09-19T21:17:00Z,56.51,-164.04,M2.txt
23,pmel_co2_moorings_cba8_5413_09f9,Papa  NOAA Surface Ocean CO2 and Ocean Acidification Mooring Time Series,2007-06-08T00:34:00Z,2020-05-24T00:17:00Z,50.13,-144.84,PAPA.txt
